tweet_ID,annotator_1,annotator_2,annotator_3,final_annotation
1441750000000000000,0,,-1,0
1437050000000000000,-1,,-1,-1
1401690000000000000,0,,0,0
1431790000000000000,-1,,-1,-1
1406570000000000000,1,,1,1
1402700000000000000,0,,0,0
1418770000000000000,-1,,-1,-1
1406560000000000000,-1,,-1,-1
1400200000000000000,-1,,-1,-1
1383120000000000000,0,,1,0
1411040000000000000,1,,1,1
1381100000000000000,1,,-1,1
1378250000000000000,0,,0,0
1395390000000000000,-1,,-1,-1
1449260000000000000,0,,0,0
1375790000000000000,0,,0,0
1415380000000000000,1,,1,1
1372520000000000000,0,,0,0
1405610000000000000,0,,0,0
1396060000000000000,1,,1,1
1400800000000000000,x,,x,x
1442300000000000000,1,,1,1
1385620000000000000,-1,,-1,-1
1401710000000000000,0,,x,0
1401730000000000000,0,,0,0
1394980000000000000,0,,1,1
1397940000000000000,0,,0,0
1392850000000000000,0,,1,0
1379150000000000000,1,,1,1
1402710000000000000,0,,-1,0
1415980000000000000,1,,1,1
1415980000000000000,1,,1,1
1416220000000000000,0,,0,0
1450960000000000000,-1,,-1,-1
1394410000000000000,-1,,-1,-1
1396130000000000000,0,,0,0
1415970000000000000,1,,1,1
1417210000000000000,1,,1,1
1438120000000000000,-1,,-1,-1
1419710000000000000,0,,0,0
1442950000000000000,1,,1,1
1375820000000000000,0,,0,0
1418260000000000000,0,,0,0
1415970000000000000,1,,1,1
1402010000000000000,1,,1,1
1375800000000000000,0,,1,0
1384820000000000000,0,,1,0
1379530000000000000,0,,0,0
1388410000000000000,0,,0,0
1378010000000000000,0,,0,0
1396860000000000000,0,1,,0
1400060000000000000,1,1,,1
1426670000000000000,0,-1,,0
1435890000000000000,1,1,,1
1396870000000000000,1,1,,1
1446090000000000000,x,x,,x
1445210000000000000,0,x,,0
1377720000000000000,1,1,,1
1375890000000000000,1,0,,1
1433580000000000000,-1,-1,,-1
1449230000000000000,1,1,,1
1445200000000000000,0,0,,0
1446870000000000000,-1,1,,-1
1391660000000000000,1,1,,1
1428160000000000000,0,0,,0
1382190000000000000,0,x,,0
1416860000000000000,0,1,,0
1423390000000000000,-1,-1,,-1
1448870000000000000,1,1,,1
1375810000000000000,-1,-1,,-1
1442520000000000000,-1,-1,,-1
1415380000000000000,-1,x,,-1
1415980000000000000,1,1,,1
1402710000000000000,0,x,,0
1379910000000000000,0,x,,0
1398520000000000000,-1,-1,,-1
1442290000000000000,-1,-1,,-1
1415710000000000000,0,1,,1
1442950000000000000,x,x,,x
1412230000000000000,0,0,,0
1411050000000000000,0,1,,1
1405040000000000000,-1,-1,,-1
1412230000000000000,0,0,,0
1379900000000000000,0,1,,0
1374900000000000000,x,1,,1
1415260000000000000,0,x,,0
1416780000000000000,-1,-1,,-1
1381110000000000000,1,1,,1
1396550000000000000,0,x,,0
1378270000000000000,-1,-1,,-1
1428170000000000000,0,x,,0
1438860000000000000,-1,1,,-1
1373160000000000000,0,-1,,0
1374760000000000000,0,x,,0
1384980000000000000,-1,0,,0
1387450000000000000,1,1,,1
1442770000000000000,1,1,,1
1394340000000000000,-1,-1,,-1
1432390000000000000,1,1,,1
1448320000000000000,0,0,,0
1388500000000000000,,1,1,
1393270000000000000,,1,0,0
1435900000000000000,,1,1,1
1395640000000000000,,1,1,1
1402680000000000000,,1,-1,-1
1394410000000000000,,x,0,0
1402700000000000000,,0,0,0
1415970000000000000,,x,1,1
1396020000000000000,,0,0,0
1442480000000000000,,-1,0,0
1412830000000000000,,0,0,0
1425840000000000000,,1,1,1
1378010000000000000,,0,0,0
1450960000000000000,,1,1,1
1379940000000000000,,0,0,0
1446880000000000000,,0,0,0
1385180000000000000,,1,1,1
1437090000000000000,,1,1,1
1412300000000000000,,1,1,1
1442760000000000000,,-1,-1,-1
1384970000000000000,,1,1,1
1431780000000000000,,0,-1,0
1397940000000000000,,0,0,0
1402680000000000000,,x,1,1
1413210000000000000,,-1,-1,-1
1394260000000000000,,-1,1,1
1397950000000000000,,-1,1,1
1405570000000000000,,0,0,0
1421430000000000000,,-1,0,-1
1394430000000000000,,1,1,1
1396570000000000000,,0,0,0
1386690000000000000,,1,1,1
1414740000000000000,,-1,1,1
1433770000000000000,,x,1,1
1415990000000000000,,1,1,1
1395390000000000000,,1,1,1
1378250000000000000,,-1,-1,-1
1386690000000000000,,1,1,1
1378950000000000000,,x,x,x
1403620000000000000,,0,0,0
1393380000000000000,,0,0,0
1385620000000000000,,0,0,0
1378940000000000000,,1,1,1
1381990000000000000,,0,0,0
1441230000000000000,,x,0,0
1384840000000000000,,x,0,0
1439710000000000000,,0,0,0
1374750000000000000,,0,0,0
1407630000000000000,,1,0,0
1396180000000000000,,0,0,0
